id,name,slug,description,base_price_cents,category_id,sku,is_active,meta_title,meta_description,unit_cost,sale_price,weight,dimensions,printable_areas
d99a4eac-1eee-4274-9bf8-e41c59f3b3de,Gildan Softstyle Jersey T-shirt,gildan-softstyle-jersey-t-shirt,"Try this on for size: a lightweight and comfortable fabric with an exciting color palette, all at an affordable price. An excellent choice for your next event!",815,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-176100,true,Custom Gildan Softstyle Jersey T-shirt | Custom Ink,"Try this on for size: a lightweight and comfortable fabric with an exciting color palette, all at an affordable price. An excellent choice for your next event!",326,1223,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
edaf278e-7539-48be-b7be-fdb0d06b9032,Bella + Canvas Jersey T-shirt,bella-canvas-jersey-t-shirt,"This t-shirt is made to have a worn-in feel right out of the box—an easy choice for your next event. The lightweight, breathable fabric is perfect for any warm weather adventure, from a trip to the beach with friends to a fun run for a local good cause. With a wide color selection available, you can mix and match to meet your group's needs, whether that's color-coordinating for a family reunion or cheering on your favorite sports team.",1425,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-124200,true,Custom Bella + Canvas Jersey T-shirt | Custom Ink,"This t-shirt is made to have a worn-in feel right out of the box—an easy choice for your next event. The lightweight, breathable fabric is perfect for any warm ",570,2138,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
2a691d8c-0966-44ab-8ca5-a66488f70f8b,Comfort Colors 100% Cotton T-shirt,comfort-colors-100percent-cotton-t-shirt,"This t-shirt feels like you have owned it for years. Your group will love the classic comfortable style this t-shirt provides. It also offers a perfect vintage look for your next event! Looking to embroider this shirt? Check out the <a href=""https://www.customink.com/products/t-shirts/short-sleeve-t-shirts/comfort-colors-100-cotton-t-shirt-embroidered/1164600"" target=""_blank"">Comfort Colors 100% Cotton T‑shirt ‑ Embroidered</a>!
",1570,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-175800,true,Custom Comfort Colors 100% Cotton T-shirt | Custom Ink,This t-shirt feels like you have owned it for years. Your group will love the classic comfortable style this t-shirt provides. It also offers a perfect vintage ,628,2355,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
ab5fce87-c5b1-45e3-9c7d-2aebb348f12d,Bella + Canvas Tri-Blend T-shirt,bella-canvas-tri-blend-t-shirt,"This shirt is an easy favorite—it's trendy with super soft, lightweight fabric and stylish colors! Coordinates perfectly with all Bella + Canvas Tri-Blend products.",1360,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-242000,true,Custom Bella + Canvas Tri-Blend T-shirt | Custom Ink,"This shirt is an easy favorite—it's trendy with super soft, lightweight fabric and stylish colors! Coordinates perfectly with all Bella + Canvas Tri-Blend produ",544,2040,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
9e2667dd-7707-49c4-9174-6eff15a9ea0b,Gildan Ultra Cotton T-shirt,gildan-ultra-cotton-t-shirt,"A great look priced right. It's no wonder our customers love this ""ultra"" popular style! This style is also available in <a href=""https://www.customink.com/products/t-shirts/short-sleeve-t-shirts/gildan-ultra-cotton-tall-t-shirt/136500"" target=""_blank""> tall sizes</a>.
Looking to embroider? Check out the <a href=""https://www.customink.com/products/t-shirts/short-sleeve-t-shirts/gildan-ultra-cotton-t-shirt-embroidered/1678200"" target=""_blank"">Gildan Ultra Cotton T-shirt - Embroidered</a>!",750,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-4600,true,Custom Gildan Ultra Cotton T-shirt | Custom Ink,"A great look priced right. It's no wonder our customers love this ""ultra"" popular style! This style is also available in <a href=""https://www.customink.com/prod",300,1125,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
4574d41b-aa11-4739-a24b-ecc5ec9b205f,AllPro Interlock UPF 50 Performance Shirt,allpro-interlock-upf-50-performance-shirt,"Stay active and stylish with this performance shirt! The customizable AllPro Interlock UPF 50 Performance Shirt offers breathable fabric and durable construction, making it perfect for events, workouts, or daily wear.",1105,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-1790600,true,Custom AllPro Interlock UPF 50 Performance Shirt | Custom Ink,Stay active and stylish with this performance shirt! The customizable AllPro Interlock UPF 50 Performance Shirt offers breathable fabric and durable constructio,442,1658,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
e8eace8a-458c-4ea5-b044-bb3614db776d,Gildan 100% Cotton T-shirt,gildan-100percent-cotton-t-shirt,"Lightweight, breathable cotton - the perfect t-shirt that keeps your comfort and wallet in mind.",815,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-4100,true,Custom Gildan 100% Cotton T-shirt | Custom Ink,"Lightweight, breathable cotton - the perfect t-shirt that keeps your comfort and wallet in mind.",326,1223,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
c8427c68-d857-4290-8d9f-c91ddfb62aa6,Next Level Tri-Blend T-shirt,next-level-tri-blend-t-shirt,"Everyone in your group will love this stylish, lightweight, and comfortable t-shirt! This style coordinates perfectly with the  <a href=""https://www.customink.com/products/womens/womens-short-sleeve-t-shirts/next-level-womens-slim-fit-tri-blend-t-shirt/187000"" target=""_blank"">Next Level Women's Slim Fit Tri-Blend T-shirt</a>.",1425,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-186900,true,Custom Next Level Tri-Blend T-shirt | Custom Ink,"Everyone in your group will love this stylish, lightweight, and comfortable t-shirt! This style coordinates perfectly with the  <a href=""https://www.customink.c",570,2138,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
231fc0cb-a445-4f34-b741-f0dc82b56a41,Gildan DryBlend 50/50 T-shirt,gildan-dryblend-5050-t-shirt,Help your group stay cool in this lightweight favorite. Bonus: blended tees shrink less than 100% cotton ones!,750,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-4900,true,Custom Gildan DryBlend 50/50 T-shirt | Custom Ink,Help your group stay cool in this lightweight favorite. Bonus: blended tees shrink less than 100% cotton ones!,300,1125,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
981f3b05-a349-4843-add9-ff1b8cb18391,Comfort Colors 100% Cotton Pocket T-shirt,comfort-colors-100percent-cotton-pocket-t-shirt,"This functional pocket t-shirt looks and feels like no other!  Special attention is given to the pigment-dyed color process for a perfect vintage look every time. Looking to embroider this shirt? Use <a href=""https://www.customink.com/products/t-shirts/short-sleeve-t-shirts/comfort-colors-100-cotton-pocket-t-shirt-embroidered/1164700"" target=""_blank"">Comfort Colors 100% Cotton Pocket T‑shirt ‑ Embroidered</a>!",1310,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-207900,true,Custom Comfort Colors 100% Cotton Pocket T-shirt | Custom Ink,This functional pocket t-shirt looks and feels like no other!  Special attention is given to the pigment-dyed color process for a perfect vintage look every tim,524,1965,0.5,12x10x1,"{""front"":""12x14"",""back"":""12x14""}"
