Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Subtitle (product.metafields.descriptors.subtitle)
Gildan® 18000,gildan-18000-g18000,"<p>When soft comfort is what you seek, the Heavy Blend® Adult Crewneck Sweatshirt is what you need. Made from a 50% U.S. cotton/50% polyester blend, this warm classic fit style looks great and makes a great canvas for decorating.</p><ul><li>50% Cotton / 50% Polyester — 8.0 oz/yd²</li><li>Air jet yarn — softer feel and reduced pilling</li><li>Classic fit</li><li>Quarter-turned to eliminate centre crease</li><li>Set-in sleeves</li><li>1 × 1 athletic rib knit cuffs and waistband with spandex</li><li>Double-needle stitching throughout</li></ul><h4>Size Chart (inches)</h4><table><thead><tr><th>Size</th><th>Chest</th><th>Body Length</th></tr></thead><tbody><tr><td>XS</td><td>31–33</td><td>25½</td></tr><tr><td>S</td><td>34–36</td><td>26½</td></tr><tr><td>M</td><td>38–40</td><td>27½</td></tr><tr><td>L</td><td>42–44</td><td>28½</td></tr><tr><td>XL</td><td>46–48</td><td>29½</td></tr><tr><td>2XL</td><td>50–52</td><td>30½</td></tr><tr><td>3XL</td><td>54–56</td><td>31½</td></tr><tr><td>4XL</td><td>58–60</td><td>32½</td></tr><tr><td>5XL</td><td>62–64</td><td>33½</td></tr></tbody></table>",Gildan,gid://shopify/TaxonomyCategory/aa-1-13-14,Crewneck Sweatshirt,"Crewneck Sweatshirt, Adult, Unisex, G18000, Crew Neck, Poly-Cotton",TRUE,active,G18000-030-XS,,Color,White,,Size,XS,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,1,Gildan® 18000 — White — front view,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,Gildan® 18000,"<p>When soft comfort is what you seek, the Heavy Blend® Adult Crewneck Sweatshirt is what you need. Made from a 50% U.S. cotton/50% polyester blend, this w",white,gid://shopify/TaxonomyCategory/aa-1-13-14,Unisex,Adult,G18000,,,new,,,,,,,Adult Crewneck Sweatshirt
,gildan-18000-g18000,,,,,,,,G18000-030-S,,Color,White,,Size,S,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,,,white,,,,,,,,,,,,,,
,gildan-18000-g18000,,,,,,,,G18000-030-M,,Color,White,,Size,M,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,,,white,,,,,,,,,,,,,,
,gildan-18000-g18000,,,,,,,,G18000-030-L,,Color,White,,Size,L,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,,,white,,,,,,,,,,,,,,
,gildan-18000-g18000,,,,,,,,G18000-030-XL,,Color,White,,Size,XL,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,,,white,,,,,,,,,,,,,,
,gildan-18000-g18000,,,,,,,,G18000-030-2XL,,Color,White,,Size,2XL,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,,,white,,,,,,,,,,,,,,
,gildan-18000-g18000,,,,,,,,G18000-030-3XL,,Color,White,,Size,3XL,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,,,white,,,,,,,,,,,,,,
,gildan-18000-g18000,,,,,,,,G18000-030-4XL,,Color,White,,Size,4XL,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,,,white,,,,,,,,,,,,,,
,gildan-18000-g18000,,,,,,,,G18000-030-5XL,,Color,White,,Size,5XL,,,,,,,,TRUE,,,,,,shopify,300,deny,400,g,TRUE,manual,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_front_2ed721a8-c5ef-4499-9476-e8c14702c4c8.jpg?v=1779478989,,,,white,,,,,,,,,,,,,,
,gildan-18000-g18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0746/6817/9644/files/000008_030_back_0810e9c5-b13e-431d-87ed-1e35a5f6dbc2.jpg?v=1779478987,2,Gildan® 18000 — White — back view,,,,,,,,,,,,,,,,,,,
